status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.print_section,response.docs.print_page,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.slideshow_credits,response.docs.subsection_name,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The dumping of coal ash in a poor, mostly black county has generated a debate over revenue versus safety.",https://www.nytimes.com/2009/08/30/us/30ash.html,"The dumping of coal ash in a poor, mostly black county has generated a debate over revenue versus safety.","UNIONTOWN, Ala.  Almost every day, a train pulls into a rail yard in rural Alabama, hauling 8,500 tons of a disaster that occurred 350 miles away to a final resting place, the Arrowhead Landfill here in Perry County, which is very poor and almost 70 percent black. ",A,12,The New York Times,,,2009-08-29T15:12:01+0000,article,National,U.S.,News,nyt://article/8a20213f-2e6a-55fe-b988-638040dca724,1136,nyt://article/8a20213f-2e6a-55fe-b988-638040dca724,NA,NA,Clash in Alabama Over Tennessee Coal Ash,NA,NA,Clash in Alabama Over Landfill’s Plans to Take Tennessee Coal Ash,NA,NA,NA,By Shaila Dewan,,NA,417,10,47
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,The Obama administration will propose new regulations by the end of the year after a coal-ash spill in December smothered 300 acres of eastern Tennessee.,https://www.nytimes.com/2009/03/08/us/politics/08ash.html,The Obama administration will propose new regulations by the end of the year after a coal-ash spill in December smothered 300 acres of eastern Tennessee.,"The Obama administration will propose new regulations governing coal combustion waste by the end of the year, and will act immediately to prevent accidents like the release in December of more than a billion gallons of coal ash that smothered 300 acres in eastern Tennessee and choked nearby waterways, a senior Environmental Protection Agency official said. ",A,20,The New York Times,,,2009-03-07T23:52:44+0000,article,National,U.S.,News,nyt://article/248d1363-2ebc-502e-884c-1ff6196fca5d,561,nyt://article/248d1363-2ebc-502e-884c-1ff6196fca5d,NA,Politics,Administration Plans New Regulations on Coal-Ash Ponds,NA,NA,Administration Plans New Regulations On Coal-Ash Ponds by End of the Year,NA,NA,NA,By Shaila Dewan,,NA,417,10,47
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,Some environmental groups are criticizing the Obama administration’s plan for regulating coal ash.,https://green.blogs.nytimes.com/2010/12/29/groups-call-governments-coal-ash-analysis-skewed/,Some environmental groups are criticizing the Obama administration’s plan for regulating coal ash.,"The Environmental Protection Agency is planning for the first time to regulate the disposal of coal ash, the potentially hazardous residue of the burning of coal in power plants and other large industrial facilities.",NA,NA,The New York Times,,,2010-12-29T20:00:36+0000,article,,Science,NA,nyt://article/5536a0e9-f944-5da5-a92b-8a5dfab2fe3f,460,nyt://article/5536a0e9-f944-5da5-a92b-8a5dfab2fe3f,NA,Environment,Groups Call Government’s Coal Ash Analysis Skewed,Green,NA,NA,NA,NA,NA,By John M. Broder,,NA,417,10,47
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,Critics had complained about the Environmental Protection Agency allowing a utility to rate its own facilities.,https://www.nytimes.com/2009/07/18/science/earth/18ash.html,Critics had complained about the Environmental Protection Agency allowing a utility to rate its own facilities.,"ATLANTA  The Tennessee Valley Authority has raised the hazard ratings on several of its coal ash disposal sites to “high,” two weeks after environmentalists complained that the Environmental Protection Agency had allowed the utility to rate its own facilities.",A,12,The New York Times,,,2009-07-18T03:10:25+0000,article,National,Science,News,nyt://article/70aee2b5-9654-535b-951c-5a2e4d8b3dfc,380,nyt://article/70aee2b5-9654-535b-951c-5a2e4d8b3dfc,NA,Environment,Tennessee Valley Authority Increases Hazard Ratings on Coal Ash Sites,NA,NA,T.V.A. Increases Hazard Ratings on Coal Ash Sites,NA,NA,NA,By Shaila Dewan,,NA,417,10,47
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,A coal-ash-filled quarry in Joliet has nearby residents concerned about the safety of the groundwater in their wells.,https://www.nytimes.com/2010/11/12/us/12cnccoalash.html,A coal-ash-filled quarry in Joliet has nearby residents concerned about the safety of the groundwater in their wells.,"The blue house is small and weathered, but for Leon Bilbrew, it is his castle. His hunting dogs are in cages in the yard, and the walls inside his Joliet home are lined with pelts of beaver, albino raccoon and skunk that he has trapped. He keeps beehives and sells the honey at farmers markets.",A,21A,The New York Times,,,2010-11-11T23:50:53+0000,article,National,U.S.,News,nyt://article/997c0f27-4cfa-52fe-bdcd-7f3fa3eebe44,1212,nyt://article/997c0f27-4cfa-52fe-bdcd-7f3fa3eebe44,NA,NA,Questions in Joliet Area About Coal-Ash Threat,Chicago News Cooperative,NA,Questions in Joliet Area About Coal-Ash Threat,NA,NA,NA,By Kari Lydersen,,NA,417,10,47
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The coal ash pond that ruptured and sent a billion gallons of toxic sludge across 300 acres of East Tennessee last month was only one of more than 1,300 similar dumps across the United States - most of them unregulated and unmonitored - that contain billions more gallons of fly ash and other byproducts of burning coal.",https://www.nytimes.com/2009/01/07/world/americas/07iht-sludge.4.19164565.html,,"The coal ash pond that ruptured and sent a billion gallons of toxic sludge across 300 acres of East Tennessee last month was only one of more than 1,300 similar dumps across the United States - most of them unregulated and unmonitored - that contain billions more gallons of fly ash and other byproducts of burning coal.",NA,NA,International Herald Tribune,,,2009-01-07T05:00:00+0000,article,IHT News,World,News,nyt://article/25f5f442-fda3-56b1-a4f0-8c73d13b258d,1098,nyt://article/25f5f442-fda3-56b1-a4f0-8c73d13b258d,NA,Americas,Huge coal ash spills contaminating U.S. water,NA,NA,Huge coal ash spills contaminating U.S. water,NA,NA,NA,By Shaila Dewan,,NA,417,10,47
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,Federal prosecutors accused the nation’s largest electric utility of violating the federal Clean Water Act in a spill last year in North Carolina.,https://www.nytimes.com/2015/02/21/us/duke-energy-is-charged-in-huge-coal-ash-leak.html,Federal prosecutors accused the nation’s largest electric utility of violating the federal Clean Water Act in a spill last year in North Carolina.,"RALEIGH, N.C. — Federal prosecutors have filed criminal charges against Duke Energy, the nation’s largest electric utility, accusing the company of violating the federal Clean Water Act by illegally dumping millions of gallons of toxic coal ash into the Dan River in North Carolina. They also accused the company of failing to maintain equipment around at least two plants. ",A,10,The New York Times,,,2015-02-21T03:04:08+0000,article,National,U.S.,News,nyt://article/ab5a7a6f-f62b-5a9f-bc3f-dddedce0c965,648,nyt://article/ab5a7a6f-f62b-5a9f-bc3f-dddedce0c965,NA,NA,Duke Energy Is Charged in Huge Coal Ash Leak,NA,NA,Duke Energy Is Charged in Huge Coal Ash Leak,NA,NA,NA,By Jonathan M. Katz,,NA,417,10,47
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The coal ash pond that ruptured and sent a billion gallons of toxic sludge across 300 acres of East Tennessee last month was only one of more than 1,300 similar dumps across the United States — most of them unregulated and unmonitored — that contain billions more gallons of fly ash and other byproducts of burning coal.",https://www.nytimes.com/2009/01/07/world/americas/07iht-07sludge.19142523.html,,"The coal ash pond that ruptured and sent a billion gallons of toxic sludge across 300 acres of East Tennessee last month was only one of more than 1,300 similar dumps across the United States — most of them unregulated and unmonitored — that contain billions more gallons of fly ash and other byproducts of burning coal.",NA,NA,International Herald Tribune,,,2009-01-07T05:00:00+0000,article,IHT News,World,News,nyt://article/05d5aa78-5653-5e55-b418-560c11e7f5a0,1397,nyt://article/05d5aa78-5653-5e55-b418-560c11e7f5a0,NA,Americas,Hundreds of coal ash dumps in the U.S. lack regulation,NA,NA,Hundreds of coal ash dumps in the U.S. lack regulation,NA,NA,NA,By Shaila Dewan,,NA,417,10,47
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,An advisory said ratings were for 44 sites where a dam failure would most likely result in a loss of human life.,https://www.nytimes.com/2009/07/01/science/earth/01ash.html,An advisory said ratings were for 44 sites where a dam failure would most likely result in a loss of human life.,"The Environmental Protection Agency has released a list of 44 “high hazard potential” coal ash waste dumps across the country. The “high hazard” rating applied to sites where a dam failure would most likely result in a loss of human life, the environmental agency advisory said, but did not assess the structural integrity of the dam or its likelihood of failure.",A,22,The New York Times,,,2009-07-01T02:23:03+0000,article,National,Science,News,nyt://article/c6b4fb91-1fff-55ae-a519-f0e3ebfacac7,585,nyt://article/c6b4fb91-1fff-55ae-a519-f0e3ebfacac7,NA,Environment,E.P.A. Lists ‘High Hazard’ Coal Ash Dumps,NA,NA,E.P.A. Lists ‘High Hazard’ Coal Ash Dumps,NA,NA,NA,By Shaila Dewan,,NA,417,10,47
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The new regulations, which leave power plants to ensure that safety standards are met, were not as strong as environmental groups wanted.",https://www.nytimes.com/2014/12/20/us/epa-issues-new-rules-on-disposal-of-coal-ash.html,"The new regulations, which leave power plants to ensure that safety standards are met, were not as strong as environmental groups wanted.","WASHINGTON — The Environmental Protection Agency on Friday announced the first federal guidelines for disposing of coal ash, instructing power plants to implement safeguards against contaminating nearby water supplies.",A,13,The New York Times,,,2014-12-19T21:30:14+0000,article,National,U.S.,News,nyt://article/25d96297-5578-5a2d-983f-19981dc1fa48,703,nyt://article/25d96297-5578-5a2d-983f-19981dc1fa48,NA,NA,E.P.A. Issues Rules on Disposal of Coal Ash to Protect Water Supply ,NA,NA,E.P.A. Issues Rules on Disposal of Coal Ash to Protect Water Supply,NA,NA,NA,By Emmarie Huetteman,,NA,417,10,47
